id,date,round,hteam,ateam,hscore,ascore,venue,winner,complete,margin
35790,2024-05-23 19:30:00,11,Western Bulldogs,Sydney,88,102,Docklands,Sydney,100,-14
35791,2024-05-24 20:10:00,11,Fremantle,Collingwood,75,75,Perth Stadium,,100,0
35793,2024-05-25 13:45:00,11,Carlton,Gold Coast,102,73,Docklands,Carlton,100,29
35792,2024-05-25 13:45:00,11,North Melbourne,Port Adelaide,48,107,Bellerive Oval,Port Adelaide,100,-59
35794,2024-05-25 16:35:00,11,Geelong,Greater Western Sydney,74,78,Kardinia Park,Greater Western Sydney,100,-4
35795,2024-05-25 19:40:00,11,Richmond,Essendon,74,86,M.C.G.,Essendon,100,-12
35796,2024-05-26 13:10:00,11,Hawthorn,Brisbane Lions,100,75,Docklands,Hawthorn,100,25
35797,2024-05-26 15:20:00,11,Melbourne,St Kilda,100,62,M.C.G.,Melbourne,100,38
35798,2024-05-26 16:40:00,11,Adelaide,West Coast,137,38,Adelaide Oval,Adelaide,100,99
35799,2024-05-30 19:30:00,12,Port Adelaide,Carlton,71,107,Adelaide Oval,Carlton,100,-36
35800,2024-05-31 19:40:00,12,Collingwood,Western Bulldogs,82,100,Docklands,Western Bulldogs,100,-18
35801,2024-06-01 13:45:00,12,Hawthorn,Adelaide,107,80,M.C.G.,Hawthorn,100,27
35802,2024-06-01 16:35:00,12,West Coast,St Kilda,68,82,Perth Stadium,St Kilda,100,-14
35803,2024-06-01 19:30:00,12,Geelong,Richmond,99,69,Kardinia Park,Geelong,100,30
35804,2024-06-02 13:00:00,12,Melbourne,Fremantle,49,141,Traeger Park,Fremantle,100,-92
35805,2024-06-02 16:00:00,12,Gold Coast,Essendon,91,80,Carrara,Gold Coast,100,11
35806,2024-06-06 19:30:00,13,Adelaide,Richmond,71,79,Adelaide Oval,Richmond,100,-8
35807,2024-06-07 19:40:00,13,Western Bulldogs,Brisbane Lions,71,114,Docklands,Brisbane Lions,100,-43
35808,2024-06-08 13:45:00,13,Hawthorn,Greater Western Sydney,85,79,York Park,Hawthorn,100,6
35809,2024-06-08 16:35:00,13,West Coast,North Melbourne,65,74,Perth Stadium,North Melbourne,100,-9
35810,2024-06-08 19:30:00,13,St Kilda,Gold Coast,51,48,Docklands,St Kilda,100,3
35811,2024-06-09 15:20:00,13,Sydney,Geelong,112,82,S.C.G.,Sydney,100,30
35812,2024-06-09 19:20:00,13,Essendon,Carlton,70,96,M.C.G.,Carlton,100,-26
35813,2024-06-10 15:20:00,13,Collingwood,Melbourne,89,51,M.C.G.,Collingwood,100,38
35814,2024-06-14 19:40:00,14,Brisbane Lions,St Kilda,126,106,Gabba,Brisbane Lions,100,20
35815,2024-06-15 13:45:00,14,Western Bulldogs,Fremantle,149,82,Docklands,Western Bulldogs,100,67
35816,2024-06-15 16:35:00,14,Richmond,Hawthorn,49,97,M.C.G.,Hawthorn,100,-48
35817,2024-06-15 19:30:00,14,Adelaide,Sydney,67,109,Adelaide Oval,Sydney,100,-42
35818,2024-06-16 13:00:00,14,North Melbourne,Collingwood,118,119,Docklands,Collingwood,100,-1
35819,2024-06-16 16:00:00,14,Greater Western Sydney,Port Adelaide,73,51,Sydney Showground,Greater Western Sydney,100,22
35820,2024-06-21 19:40:00,15,Carlton,Geelong,138,75,M.C.G.,Carlton,100,63
35821,2024-06-22 13:45:00,15,Port Adelaide,Brisbane Lions,73,152,Adelaide Oval,Brisbane Lions,100,-79
35822,2024-06-22 16:35:00,15,Greater Western Sydney,Sydney,75,102,Sydney Showground,Sydney,100,-27
35823,2024-06-22 19:30:00,15,Melbourne,North Melbourne,70,67,M.C.G.,Melbourne,100,3
35824,2024-06-23 13:00:00,15,Essendon,West Coast,122,92,Docklands,Essendon,100,30
35825,2024-06-23 16:00:00,15,Fremantle,Gold Coast,85,65,Perth Stadium,Fremantle,100,20
35826,2024-06-28 19:40:00,16,Brisbane Lions,Melbourne,86,81,Gabba,Brisbane Lions,100,5
35829,2024-06-29 13:45:00,16,North Melbourne,Western Bulldogs,60,77,Docklands,Western Bulldogs,100,-17
35832,2024-06-29 13:45:00,16,Sydney,Fremantle,98,99,S.C.G.,Fremantle,100,-1
35828,2024-06-29 16:35:00,16,Gold Coast,Collingwood,101,90,Carrara,Gold Coast,100,11
35833,2024-06-29 19:30:00,16,Adelaide,Greater Western Sydney,94,78,Adelaide Oval,Adelaide,100,16
35827,2024-06-29 19:30:00,16,Geelong,Essendon,105,60,M.C.G.,Geelong,100,45
35831,2024-06-30 13:10:00,16,St Kilda,Port Adelaide,60,62,Docklands,Port Adelaide,100,-2
35830,2024-06-30 15:20:00,16,Richmond,Carlton,70,131,M.C.G.,Carlton,100,-61
35834,2024-06-30 16:40:00,16,West Coast,Hawthorn,33,94,Perth Stadium,Hawthorn,100,-61
35836,2024-07-05 19:40:00,17,Collingwood,Essendon,80,92,M.C.G.,Essendon,100,-12
35840,2024-07-06 13:45:00,17,North Melbourne,Gold Coast,87,83,Docklands,North Melbourne,100,4
35842,2024-07-06 13:45:00,17,Port Adelaide,Western Bulldogs,102,54,Adelaide Oval,Port Adelaide,100,48
35837,2024-07-06 16:35:00,17,Geelong,Hawthorn,110,59,Kardinia Park,Geelong,100,51
35838,2024-07-06 19:30:00,17,Greater Western Sydney,Carlton,116,104,Sydney Showground,Greater Western Sydney,100,12
35843,2024-07-06 20:10:00,17,Fremantle,Richmond,105,54,Perth Stadium,Fremantle,100,51
35839,2024-07-07 13:10:00,17,Melbourne,West Coast,112,58,M.C.G.,Melbourne,100,54
35841,2024-07-07 15:20:00,17,St Kilda,Sydney,84,82,Docklands,St Kilda,100,2
35835,2024-07-07 16:10:00,17,Brisbane Lions,Adelaide,97,86,Gabba,Brisbane Lions,100,11
35844,2024-07-12 19:40:00,18,Collingwood,Geelong,71,91,M.C.G.,Geelong,100,-20
35846,2024-07-13 13:45:00,18,Hawthorn,Fremantle,87,74,York Park,Hawthorn,100,13
35849,2024-07-13 13:45:00,18,Sydney,North Melbourne,138,59,S.C.G.,Sydney,100,79
35850,2024-07-13 16:35:00,18,Western Bulldogs,Carlton,100,86,Docklands,Western Bulldogs,100,14
35851,2024-07-13 19:30:00,18,Adelaide,St Kilda,71,39,Adelaide Oval,Adelaide,100,32
35847,2024-07-13 19:30:00,18,Melbourne,Essendon,84,67,M.C.G.,Melbourne,100,17
35845,2024-07-14 13:10:00,18,Gold Coast,Port Adelaide,96,82,Carrara,Gold Coast,100,14
35848,2024-07-14 15:20:00,18,Richmond,Greater Western Sydney,84,108,M.C.G.,Greater Western Sydney,100,-24
35852,2024-07-14 16:40:00,18,West Coast,Brisbane Lions,93,106,Perth Stadium,Brisbane Lions,100,-13
35855,2024-07-19 19:40:00,19,Essendon,Adelaide,113,115,Docklands,Adelaide,100,-2
35857,2024-07-20 13:45:00,19,Greater Western Sydney,Gold Coast,89,50,Sydney Showground,Greater Western Sydney,100,39
35859,2024-07-20 13:45:00,19,St Kilda,West Coast,113,41,Docklands,St Kilda,100,72
35858,2024-07-20 16:35:00,19,Hawthorn,Collingwood,133,67,M.C.G.,Hawthorn,100,66
35856,2024-07-20 19:30:00,19,Geelong,Western Bulldogs,48,95,Kardinia Park,Western Bulldogs,100,-47
35860,2024-07-20 19:30:00,19,Port Adelaide,Richmond,116,75,Adelaide Oval,Port Adelaide,100,41
35853,2024-07-21 13:10:00,19,Brisbane Lions,Sydney,79,77,Gabba,Brisbane Lions,100,2
35861,2024-07-21 15:20:00,19,Fremantle,Melbourne,116,66,Perth Stadium,Fremantle,100,50
35854,2024-07-21 16:40:00,19,Carlton,North Melbourne,107,88,Docklands,Carlton,100,19
35862,2024-07-26 19:40:00,20,Carlton,Port Adelaide,65,79,Docklands,Port Adelaide,100,-14
35866,2024-07-27 13:45:00,20,North Melbourne,Geelong,66,106,Bellerive Oval,Geelong,100,-40
35864,2024-07-27 16:35:00,20,Gold Coast,Brisbane Lions,65,93,Carrara,Brisbane Lions,100,-28
35867,2024-07-27 16:35:00,20,St Kilda,Essendon,108,55,Docklands,St Kilda,100,53
35865,2024-07-27 19:30:00,20,Melbourne,Greater Western Sydney,83,85,M.C.G.,Greater Western Sydney,100,-2
35870,2024-07-27 20:10:00,20,Fremantle,West Coast,110,75,Perth Stadium,Fremantle,100,35
35863,2024-07-28 13:10:00,20,Collingwood,Richmond,93,67,M.C.G.,Collingwood,100,26
35868,2024-07-28 15:20:00,20,Sydney,Western Bulldogs,48,87,S.C.G.,Western Bulldogs,100,-39
35869,2024-07-28 16:10:00,20,Adelaide,Hawthorn,58,124,Adelaide Oval,Hawthorn,100,-66
35877,2024-08-02 19:15:00,21,Western Bulldogs,Melbourne,110,59,Docklands,Western Bulldogs,100,51
35879,2024-08-02 20:30:00,21,West Coast,Gold Coast,97,87,Perth Stadium,West Coast,100,10
35875,2024-08-03 13:45:00,21,North Melbourne,Richmond,90,77,Docklands,North Melbourne,100,13
35873,2024-08-03 16:35:00,21,Geelong,Adelaide,90,85,Kardinia Park,Geelong,100,5
35871,2024-08-03 19:30:00,21,Collingwood,Carlton,84,81,M.C.G.,Collingwood,100,3
35878,2024-08-03 19:30:00,21,Port Adelaide,Sydney,148,36,Adelaide Oval,Port Adelaide,100,112
35874,2024-08-04 13:10:00,21,Greater Western Sydney,Hawthorn,84,82,Manuka Oval,Greater Western Sydney,100,2
35872,2024-08-04 15:20:00,21,Essendon,Fremantle,90,89,M.C.G.,Essendon,100,1
35876,2024-08-04 16:40:00,21,St Kilda,Brisbane Lions,39,124,Docklands,Brisbane Lions,100,-85
35886,2024-08-09 19:40:00,22,Sydney,Collingwood,89,86,S.C.G.,Sydney,100,3
35880,2024-08-10 13:45:00,22,Brisbane Lions,Greater Western Sydney,64,82,Gabba,Greater Western Sydney,100,-18
35884,2024-08-10 13:45:00,22,North Melbourne,West Coast,97,102,Bellerive Oval,West Coast,100,-5
35888,2024-08-10 16:35:00,22,Fremantle,Geelong,62,73,Perth Stadium,Geelong,100,-11
35882,2024-08-10 19:30:00,22,Essendon,Gold Coast,86,87,Docklands,Gold Coast,100,-1
35883,2024-08-10 19:30:00,22,Melbourne,Port Adelaide,51,53,M.C.G.,Port Adelaide,100,-2
35881,2024-08-11 13:10:00,22,Carlton,Hawthorn,38,112,M.C.G.,Hawthorn,100,-74
35885,2024-08-11 15:20:00,22,Richmond,St Kilda,51,99,Docklands,St Kilda,100,-48
35887,2024-08-11 16:10:00,22,Adelaide,Western Bulldogs,111,72,Adelaide Oval,Adelaide,100,39
35890,2024-08-16 19:40:00,23,Essendon,Sydney,59,98,Docklands,Sydney,100,-39
35891,2024-08-17 13:45:00,23,Gold Coast,Melbourne,63,117,Carrara,Melbourne,100,-54
35892,2024-08-17 13:45:00,23,Greater Western Sydney,Fremantle,101,92,Sydney Showground,Greater Western Sydney,100,9
35889,2024-08-17 16:35:00,23,Collingwood,Brisbane Lions,79,78,M.C.G.,Collingwood,100,1
35896,2024-08-17 19:30:00,23,Port Adelaide,Adelaide,80,58,Adelaide Oval,Port Adelaide,100,22
